State;Up;Down;Left;Right;Stay
12,2|7,3;0;0;-0.45;0.618;0
11,2|8,3;-0.74646;0.60324;-0.08843219;1.998228;-0.15
12,2|9,3;-0.1343719;1.427749;-0.9729;0;-0.15
11,2|9,2;0.2876334;1.449622;0;1.203723;0.6805297
11,1|10,2;-0.45;2.358442;-0.765;0.6;0
10,1|10,1;0;0;0;0;0
13,7|19,5;0;0;0;-0.15;0
13,7|18,5;0;-0.45;0;0;0
13,6|17,5;0;0;0.6;0;0
12,6|16,5;0;0;0;0;-0.15
12,6|15,5;0.6;0;0;-0.5979942;0
12,7|15,4;0;0;0;-0.45;0
13,7|15,3;1.1946;0;0.6;0;-0.15
13,7|15,2;0;0;1.02;-0.15;0
12,7|15,1;0;0;-0.15;-0.6021252;0
13,7|14,1;1.058394;0;0;-0.15;0
13,7|13,1;1.37478;0;-0.45;0;0
13,8|13,2;1.5198;0;0;-0.15;0
13,8|13,3;0;0;-0.45;-0.15;0
13,8|12,3;0;0;0;-0.093;0
13,8|11,3;0.6;0;-0.765;0;-0.15
13,8|10,3;1.02;0;0;0;0
13,8|9,5;0.5595;0;-0.45;0;-0.15
13,8|10,5;1.02;0;0.6036531;0;0.13968
13,8|11,5;1.02;0;-0.45;-0.255;0
13,9|11,6;-0.2955;0.1876183;-0.9131805;-0.1905;-0.5276728
12,9|12,6;-0.25737;-0.09035984;1.131696;0.3001155;0.3145147
12,9|12,7;-0.1489554;-0.9855;2.583859;-0.08355647;0.09338741
12,9|12,8;-0.37995;-1.13985;-0.68805;0.5528119;-0.255
12,9|12,9;0;0;0;0;0
13,9|6,18;0;0.6;0;0;0
13,8|6,17;0;0.6;0;0;0
13,7|6,16;0;0;-0.45;0;0
12,7|6,15;-0.45;1.02;-0.15;0;0
12,6|5,15;-0.765;0.762;0;0;0
12,7|5,14;-0.432;0.762;-0.15;0;-0.132
12,7|5,13;0.02746025;1.476;-0.255;0;-0.15
12,6|6,13;-0.43794;1.182;-0.45;0;-0.15
12,7|7,13;-0.765;1.8696;0.2718445;1.35174;-0.1717417
12,7|7,12;-0.45;1.951276;0.1544419;1.316262;-0.1314325
12,8|8,12;-0.59814;1.094283;0;1.182;0
13,8|8,11;-0.1287062;2.34483;-0.5843902;0.6437348;0.03206399
13,9|8,10;-0.2841882;2.75331;0.05345317;-0.3317826;-0.32526
13,9|8,9;-0.140565;-0.765;0.4823578;0.07674002;0.0204
13,9|9,9;0.429995;1.182;-0.1950047;0.4814449;0.5652053
12,9|10,9;-0.132;0.5694215;-0.9855;1.988283;0.02491198
13,18|0,3;0.6;0;0;0;0
13,19|0,4;0;-0.45;0;0;-0.15
13,19|0,5;0;0;-0.45;0;-0.15
12,19|0,6;0;-0.45;-0.45;0;-0.15
12,19|0,7;-0.15;0;0;0;0
12,19|0,8;0;-0.288;-0.45;0;0
11,19|0,9;0;0;0;0.6;0
12,19|0,10;0;-0.288;-0.45;1.054086;0
11,19|0,11;0.06519;-0.09581942;-0.4034605;1.02;-0.2979
11,19|0,12;0.1151394;-1.08729;-0.72558;2.27316;0
10,19|0,13;-0.15;-0.279738;-1.023048;2.298168;-0.15
10,19|1,13;-0.15;-0.9549;-0.444492;0.6;-0.15
10,19|2,13;0;-0.45;0;0;0
10,18|2,14;1.22574;0;0;0;0
10,19|2,15;-0.255;-0.5092909;-0.747;0.762;0
10,19|2,16;0;-0.48474;-0.765;0;0.012
9,19|3,16;-0.14676;0;-0.9415098;0;-0.15
9,19|3,17;-0.132;0;-0.1922094;1.5198;0
10,19|4,17;0.156018;-0.45;-0.765;0;0
10,18|5,17;1.33914;-0.5537502;0;0.8878124;-0.15
10,17|6,17;-0.432;0.6;-0.288;1.51974;-0.15
11,17|7,17;0.6370742;0.762;-0.45;0.618;0.1952298
10,17|8,17;0.8179041;-0.45;-0.45;1.536093;-0.15
9,17|9,17;0;0;0;0;0
19,17|19,6;0;0;0;-0.132;-0.15
19,17|19,7;0.6;0;0;0.065865;-0.01297951
19,17|19,8;1.02;-0.765;0.7995;0;0
19,16|19,9;0;0;0;0.012;-0.15
19,16|19,10;0.6;-0.1737252;0;0;0.08160361
19,17|19,11;0;-0.2758664;1.339645;-0.132;0
18,17|18,11;3.266361;0;0;0.6;0
19,17|18,12;2.670148;0;-0.45;-0.15;0.1663951
19,17|18,13;1.171834;0;-0.0768726;0.2096298;0.06414001
19,17|18,14;2.432215;-0.0698435;-0.4188431;0.707659;0.3945678
19,17|19,14;4.075176;-0.45;0.6887679;-0.15;0.1211983
19,17|19,15;1.948655;-0.765;1.115095;0.8626063;0.8313066
19,16|19,16;0;0;0;0;0
18,11|18,15;-0.2879028;2.276778;0;0;-0.15
18,10|18,14;-0.45;1.065536;1.69251;1.335704;-0.093
19,10|19,14;0;0;0.6;-0.15;0
18,10|19,13;0;0;0;0;-0.15
18,10|18,13;-0.2052756;1.476;0;0;0
18,11|18,12;0;2.517797;0.6;0.918397;-0.37995
18,10|18,11;-0.9855;2.534598;-0.6336;-0.6886414;-0.15
19,10|18,10;1.743895;1.405093;-0.9855;-0.15;-0.15
18,10|18,10;0;0;0;0;0
9,17|4,10;0;-0.45;0;0;0
9,16|4,11;0;0;0;0.6;-0.15
9,17|2,11;1.810703;-0.45;0;1.05947;0
10,17|1,11;1.66585;0;-0.4539083;0;-0.15
10,18|0,11;0;-0.724662;0;1.198076;0.3964115
10,17|0,12;1.3446;-0.1107833;0;0.6;0.06637072
10,18|0,13;1.02;-0.5647696;-0.47214;0.6;0
11,18|0,14;1.02;-0.765;0;0.6;0
